,Sr No.,Entrepreneur Name,From,Business,Deal,Original Ask,Final Offer,Investors
28,29,"Arnav, Sai and Vardhaman Gandhi",Pune,Egg(Meatyour),Deal,₹30 lakhs5% Equity,₹30 lakhs20% Equity,"Anupam, Aman, Peyush"
29,30,"Venkatesh, Sourabh and Rakhi",Pune,Student Social Community(EventBeep),Deal,₹30 lakhs2% Equity,₹30 lakhs3% Equity,"Aman, Ashneer, Peyush"
30,31,Gaurav Goyal,Delhi,Ice Cream (Gopal’s 56),No Deal,₹300 crores25% Equity,No Offer,N/A
31,32,"Mohammad, Saransh and Kranti",New Delhi,Texture Paint(Arrcoat Surface Textures),Deal,₹50 lakhs5% Equity,₹50 lakhs15% Equity,Anupam
32,33,Chahat and Sanskar,Nagpur,Streetwear Fashion (Farda),Deal,₹30 lakhs10% Equity,₹30 lakhs20% Equity,"Aman, Namita"
33,34,Aishwarya Biswas,Kolkata,Skincare Products(Auli Lifestyle),Deal,₹75 lakhs4% Equity,₹75 lakhs15% Equity,Namita
34,35,Suman and Vinod,Pune,Food Delivery (SweeDesi),No Deal,₹40 lakhs3% Equity,No Offer,N/A
35,36,Krishnan Sunderarajan,Delhi,Metaverse App(Loka),Deal,₹40 lakhs5% Equity,₹40 lakhs24% Equity,"Aman, Anupam, Peyush"
36,37,"Aman, Dilip, Sanskriti, Saif",Bangalore,Self-learning App for visually impaired(Annie),Deal,₹30 lakhs0.5% Equity,₹1.05 crores3% Equity,"Anupam, Namita, Peyush"
37,38,Surabhi and Chetna Shah,Indore,Reusable Boxes(Carragreen),Deal,₹50 lakhs10% Equity,₹50 lakhs20% Equity,"Anupam, Peyush"
38,39,Pratik Gadia,Mumbai,Buy/Sell Yarn(The Yarn Bazaar),Deal,₹50 lakhs2% Equity,₹1 crore10% Equity,"Aman, Anupam, Peyush, Ashneer"
39,40,Shashank Modhia,Mumbai,Dialysis Treatment(The Renal Project),Deal,₹1 crore3% Equity,₹1 crore6% Equity,"Aman, Namita"
40,41,"Tanmay, Bipin, Kalyani",Valsad,Solar-dried fruits(Morriko Pure Foods),No Deal,₹1 crore3% Equity,₹1 crore25% Equity,N/A
41,42,Purva Aggarwal,Delhi,EdFinTech App (Good Good Piggy),No Deal,₹45 lakhs5% Equity,No Offer,N/A
42,43,"Sasikanth, Pavan, Sunil",Hyderabad,Coconut based Products (Cocofit),Deal,₹5 5% Equity,₹55% Equity,"Aman, Anupam, Namita"
43,44,Rohit Nandwani,Haryana,Tech Products (Hammer Lifestyle),Deal,₹30 lakhs3% Equity,₹1 crore40% Equity,Aman
44,45,"Pratik, Ashish",Mumbai,Autonomous Robots(PNT Robotics),Deal,₹50 lakhs4% Equity,₹25 lakhs25% Equity₹25 lakhs Debt,Peyush
45,46,Yogesh Shinde,Pune,Bamboo Products(Bamboo India),Deal,₹80 lakhs4% Equity,₹50 lakhs3.5% Equity₹30 lakhs Debt,"Anupam, Ashneer"
46,47,Jessica Madan,Delhi,Pets Grooming and Spa(Flying Fur),No Deal,₹75 lakhs7% Equity,No Offer,N/A
47,48,Devang and Shachi,Kolkata,Liquid Water Enhancer(Beyond Water),Deal,₹75 lakhs4% Equity,₹75 lakhs15% Equity,"Aman, Namita"
48,49,"Nitin, Chitra, Geetanjali, Neelam",Delhi,Snacks(Let’s Try Food),Deal,₹45 lakhs2% Equity,₹45 lakhs12% Equity,"Anupam, Aman"
49,50,"Simardeep, Danish, Harshdeep",Delhi,Hyped Sneakers (Find Your Kicks India),Deal,₹50 lakhs10% Equity,₹50 lakhs25% Equity,All Sharks
50,51,Vikas and Leela,Mumbai,Online Study(Aas Vidyalaya),Deal,₹1.5 crore3% Equity,₹1.5 crore15% Equity,"Peyush, Ashneer, Namita"
51,52,Kaushal and Sukriti,Calcutta,Surprise Party Planners (Outbox),No Deal,₹50 lakhs5% Equity,No Offer,N/A
52,53,Ranjeet Deshmukh,Pune,Obstacles Detector(RoadBounce),Deal,₹80 lakhs10% Equity,₹80 lakhs20% Equity,Peyush
53,54,"Vikaas, Pratibha, Vishal Kanoi",Mumbai,Fresh and Hygiene Pizza(Mommy’s Kitchen),No Deal,₹90 lakhs3% Equity,No Offer,N/A
54,55,Kshitij and Kanav,New Delhi,OTUA Electric Vehicle(Dandera Technologies Pvt Ltd),Deal,₹1 crore1% Equity,₹1 lakh1% Equity₹99 lakhs at 12% Interest,Ashneer
55,56,Jayanti Bhattacharya,Bangalore,Super Food(India Hemp and Co.),No Deal,₹50 lakhs4% Equity,₹20 lakhs10% Equity₹30 lakhs at 12% Interest,N/A
56,57,Shruthi Reddy,Kolkata,Funeral Service Provider(Anthyesti Funeral Services),No Deal,₹50 lakhs2% Equity,No Offer,N/A
57,58,Pankaj and Bharat,Bangalore,Leather Free Products (Ethik),No Deal,₹15 lakhs5% Equity,No Offer,N/A
58,59,Sreeshankar and Romeo,Kerala,IOT Device for Cows(Brainwired),Deal,₹50 lakhs5% Equity,₹60 lakhs10% Equity,"Aman, Namita, Peyush, Ashneer"
59,60,Sahil Pruthi,Delhi,Keto Diet Plan(Keto India),No Deal,₹1.5 crore1.25% Equity,₹1.6 crore16% Equity,N/A
60,61,"Tejas, Zubin, Dhananjay",Mumbai,LPG Gas Safety Valve(Magic Lock),No Deal,₹1.2 crore8% Equity,No Offer,N/A
61,62,Muskaan and Raghav,Bangalore,Regional Food Delivery(The State Plate),Deal,₹65 lakhs2% Equity,₹40 lakhs4% Equity₹25 lakhs Debt,Peyush
62,63,Sumit and Divyesh,Mumbai,Comics and Animation(Bakarmax Pvt Ltd),No Deal,₹35 lakhs5% Equity,No Offer,N/A
63,64,Sameer and Viraj,Pune,Cocktails(In A Can),Deal,₹50 lakhs2% Equity,₹1 crore10% Equity,All Sharks
64,65,Jash Shah and Jimmy Shah,Ahmedabad,Whey Protein Ice-cream(Get-A-Whey),Deal,₹1 crore8% Equity,₹1 crore15% Equity,"Aman, Vineeta, Ashneer"
65,66,Siddharth Gupta,Jammu,Lifestyle Products(Sid07 Designs),Deal,₹47 lakhs10% Equity,₹25 lakhs75% Equity ₹22 lakhs Debt,Peyush
66,67,Malvica Saxena,Mathura,Customized Shoes/Jackets (The Quirky Naari),Deal,₹35 lakhs5% Equity,₹35 lakhs24% Equity,"Vineeta, Anupam"
67,68,Nitin and Rohan,Pune,Meads (Moonshine),No Deal,₹80 lakhs0.5% Equity,₹1 crore2.5% Equity,All Sharks
68,69,"Ashish, Jitendra, Piyush",Gurgaon,Hair Extensions(Hair Originals),Deal,₹60 lakhs2% Equity,₹60 lakhs4% Equity,"Anupam, Peyush, Ashneer"
69,70,Aditi Sodhi,Punjab,Pre-toilet Spray (Poo-De-Cologne),No Deal,₹75 lakhs5% Equity,No Offer,N/A
70,71,"Gulshan, Rahul, Dhruv",Gurgaon,Fresh Fruit Salad/Juices(Falhari),No Deal,₹50 lakhs2% Equity,₹50 lakhs8% Equity,Vineeta
71,72,Ridhima Arora,Gurugram,Ayurvedic Enriched Food(Namhya Foods),Deal,₹1 crore5% Equity,₹50 lakhs10% Equity ₹50 lakhs Debt,Aman
72,73,Yash Gangwal,Mumbai,OG Streetwear(Urban Monkey),No Deal,₹1 crore1% Equity,₹1 crore10% Equity,Peyush
73,74,Tasneem and Ismail Badri,Secunderabad,Luggage Bags(Guardian Gears),No Deal,₹30 lakhs5% Equity,₹30 lakhs30% Equity,"Vineeta, Anupam, Peyush"
74,75,Oshina and Saurabh,Delhi,Handcrafted Bags(Modern Myth),No Deal,₹75 lakhs5% Equity,No Offer,N/A
75,76,Rishika Nayak,Mumbai,Luxury Soaps (The Sass Bar),Deal,₹40 lakhs8% Equity,₹40 lakhs35% Equity,"Anupam, Ghazal"
76,77,Jugadu Kamlesh,Malegaon,Multipurpose Bicycle(KG Agrotech),Deal,₹30 lakhs10% Equity,₹10 lakhs40% Equity₹20 lakhs Loan,Peyush
